mote_id,monitored_time,on_time,tx_time,rx_time,int_time
7,86.0,1.0,0.0,0.0,0.0
8,86.0,2.0,1.0,0.0,0.0
9,86.0,3.0,1.0,0.0,0.0
10,86.0,3.0,1.0,0.0,0.0
0,86.0,1.0,0.0,0.0,0.0
1,86.0,1.0,0.0,0.0,0.0
2,86.0,1.0,0.0,0.0,0.0
3,86.0,2.0,1.0,0.0,0.0
4,86.0,1.0,0.0,0.0,0.0
5,86.0,2.0,1.0,0.0,0.0
6,86.0,2.0,1.0,0.0,0.0
7,86.0,1.0,0.0,0.0,0.0
8,86.0,2.0,1.0,0.0,0.0
9,86.0,3.0,1.0,0.0,0.0
10,86.0,3.0,1.0,0.0,0.0
0,93.0,1.0,0.0,0.0,0.0
1,93.0,1.0,0.0,0.0,0.0
2,93.0,1.0,0.0,0.0,0.0
3,93.0,2.0,1.0,0.0,0.0
4,93.0,1.0,0.0,0.0,0.0
5,93.0,2.0,1.0,0.0,0.0
6,93.0,2.0,1.0,0.0,0.0
7,93.0,1.0,0.0,0.0,0.0
8,93.0,2.0,1.0,0.0,0.0
9,93.0,3.0,1.0,0.0,0.0
10,93.0,3.0,1.0,0.0,0.0
0,93.0,1.0,0.0,0.0,0.0
1,93.0,1.0,0.0,0.0,0.0
2,93.0,1.0,0.0,0.0,0.0
3,93.0,2.0,1.0,0.0,0.0
4,93.0,1.0,0.0,0.0,0.0
5,93.0,2.0,1.0,0.0,0.0
6,93.0,2.0,1.0,0.0,0.0
7,93.0,1.0,0.0,0.0,0.0
8,93.0,2.0,1.0,0.0,0.0
9,93.0,3.0,1.0,0.0,0.0
10,93.0,3.0,1.0,0.0,0.0
0,93.0,1.0,0.0,0.0,0.0
1,93.0,1.0,0.0,0.0,0.0
2,93.0,1.0,0.0,0.0,0.0
3,93.0,2.0,1.0,0.0,0.0
4,93.0,1.0,0.0,0.0,0.0
5,93.0,2.0,1.0,0.0,0.0
6,93.0,2.0,1.0,0.0,0.0
7,93.0,1.0,0.0,0.0,0.0
8,93.0,2.0,1.0,0.0,0.0
9,93.0,3.0,1.0,0.0,0.0
10,93.0,3.0,1.0,0.0,0.0
